dataset,image_filename,image_path,mask_path,image_width,image_height,image_size_bytes,mask_size_bytes,has_mask,num_bounding_boxes,bounding_boxes,label,bbox_width,bbox_height
kvasir-seg,cju0tl3uz8blh0993wxvn7ly3.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0tl3uz8blh0993wxvn7ly3.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0tl3uz8blh0993wxvn7ly3.jpg,622,529,36088,7254,Yes,1,"polyp: [314,386,370,435]",polyp,622,529
kvasir-seg,cju0u2g7pmnux0801vkk47ivj.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0u2g7pmnux0801vkk47ivj.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0u2g7pmnux0801vkk47ivj.jpg,611,530,43978,15948,Yes,1,"polyp: [0,152,367,530]",polyp,611,530
kvasir-seg,cju0u82z3cuma0835wlxrnrjv.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0u82z3cuma0835wlxrnrjv.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0u82z3cuma0835wlxrnrjv.jpg,626,546,35391,16327,Yes,1,"polyp: [293,90,609,531]",polyp,626,546
kvasir-seg,cju0ue769mxii08019zqgdbxn.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0ue769mxii08019zqgdbxn.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0ue769mxii08019zqgdbxn.jpg,626,547,38539,10518,Yes,1,"polyp: [182,83,342,240]",polyp,626,547
kvasir-seg,cju0vtox5ain6099360pu62rp.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0vtox5ain6099360pu62rp.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0vtox5ain6099360pu62rp.jpg,622,531,25203,9943,Yes,1,"polyp: [144,99,300,244]",polyp,622,531
kvasir-seg,cju13cgqmnhwn0988yrainhcp.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju13cgqmnhwn0988yrainhcp.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju13cgqmnhwn0988yrainhcp.jpg,626,546,32581,12404,Yes,1,"polyp: [236,263,456,523]",polyp,626,546
kvasir-seg,cju13fwthn9mq0835gacxgy01.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju13fwthn9mq0835gacxgy01.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju13fwthn9mq0835gacxgy01.jpg,623,529,36373,12587,Yes,1,"polyp: [346,14,615,261]",polyp,623,529
kvasir-seg,cju13hp5rnbjx0835bf0jowgx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju13hp5rnbjx0835bf0jowgx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju13hp5rnbjx0835bf0jowgx.jpg,622,531,26191,11358,Yes,1,"polyp: [0,91,219,321]",polyp,622,531
kvasir-seg,cju14g8o4xui30878gkgbrvqj.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju14g8o4xui30878gkgbrvqj.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju14g8o4xui30878gkgbrvqj.jpg,622,531,35532,8906,Yes,1,"polyp: [440,156,544,272]",polyp,622,531
kvasir-seg,cju14hjh2ob2o0835ouz3r5aa.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju14hjh2ob2o0835ouz3r5aa.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju14hjh2ob2o0835ouz3r5aa.jpg,609,546,39211,12881,Yes,1,"polyp: [360,247,597,501]",polyp,609,546
kvasir-seg,cju14pxbaoksp0835qzorx6g6.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju14pxbaoksp0835qzorx6g6.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju14pxbaoksp0835qzorx6g6.jpg,622,530,40816,10405,Yes,1,"polyp: [143,8,349,163]",polyp,622,530
kvasir-seg,cju15czxqp3lv0835jvhgzurz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju15czxqp3lv0835jvhgzurz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju15czxqp3lv0835jvhgzurz.jpg,620,547,39239,15605,Yes,1,"polyp: [30,92,435,489]",polyp,620,547
kvasir-seg,cju15jr8jz8sb0855ukmkswkz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju15jr8jz8sb0855ukmkswkz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju15jr8jz8sb0855ukmkswkz.jpg,594,528,37355,13934,Yes,2,"polyp: [193,0,540,375]; polyp: [356,0,485,1]",polyp,594,528
kvasir-seg,cju15l5ubz9yh0855b3ivdpse.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju15l5ubz9yh0855b3ivdpse.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju15l5ubz9yh0855b3ivdpse.jpg,626,547,36477,9679,Yes,1,"polyp: [182,199,326,321]",polyp,626,547
kvasir-seg,cju15mhjczc8z0801kit5c6di.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju15mhjczc8z0801kit5c6di.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju15mhjczc8z0801kit5c6di.jpg,624,546,31967,12314,Yes,1,"polyp: [344,36,604,285]",polyp,624,546
kvasir-seg,cju15ptjtppz40988odsm9azx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju15ptjtppz40988odsm9azx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju15ptjtppz40988odsm9azx.jpg,622,529,52240,10903,Yes,1,"polyp: [355,140,555,295]",polyp,622,529
kvasir-seg,cju15wdt3zla10801odjiw7sy.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju15wdt3zla10801odjiw7sy.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju15wdt3zla10801odjiw7sy.jpg,622,529,37651,12721,Yes,1,"polyp: [303,239,564,529]",polyp,622,529
kvasir-seg,cju160wshltz10993i1gmqxbe.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju160wshltz10993i1gmqxbe.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju160wshltz10993i1gmqxbe.jpg,607,530,28303,8439,Yes,1,"polyp: [422,258,513,383]",polyp,607,530
kvasir-seg,cju16ach3m1da0993r1dq3sn2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju16ach3m1da0993r1dq3sn2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju16ach3m1da0993r1dq3sn2.jpg,616,528,50384,15056,Yes,1,"polyp: [78,160,423,499]",polyp,616,528
kvasir-seg,cju16b6ynq8e40988m8vx0xnj.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju16b6ynq8e40988m8vx0xnj.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju16b6ynq8e40988m8vx0xnj.jpg,571,530,26999,7583,Yes,1,"polyp: [85,61,175,148]",polyp,571,530
kvasir-seg,cju16d65tzw9d0799ouslsw25.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju16d65tzw9d0799ouslsw25.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju16d65tzw9d0799ouslsw25.jpg,481,530,18352,7969,Yes,1,"polyp: [245,211,345,369]",polyp,481,530
kvasir-seg,cju16fpvhzypl0799p9phnlx6.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju16fpvhzypl0799p9phnlx6.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju16fpvhzypl0799p9phnlx6.jpg,626,546,35359,13003,Yes,1,"polyp: [254,186,498,417]",polyp,626,546
kvasir-seg,cju16jgnyzp970878melv7r25.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju16jgnyzp970878melv7r25.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju16jgnyzp970878melv7r25.jpg,560,529,32884,11477,Yes,1,"polyp: [260,236,505,463]",polyp,560,529
kvasir-seg,cju16whaj0e7n0855q7b6cjkm.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju16whaj0e7n0855q7b6cjkm.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju16whaj0e7n0855q7b6cjkm.jpg,626,547,36054,20398,Yes,1,"polyp: [56,12,532,377]",polyp,626,547
kvasir-seg,cju171py4qiha0835u8sl59ds.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju171py4qiha0835u8sl59ds.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju171py4qiha0835u8sl59ds.jpg,616,530,34581,16518,Yes,1,"polyp: [205,0,616,419]",polyp,616,530
kvasir-seg,cju175facms5f0993a5tjikvt.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju175facms5f0993a5tjikvt.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju175facms5f0993a5tjikvt.jpg,621,528,45570,15545,Yes,1,"polyp: [0,182,438,488]",polyp,621,528
kvasir-seg,cju17bz250pgd0799u1hqkj5u.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju17bz250pgd0799u1hqkj5u.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju17bz250pgd0799u1hqkj5u.jpg,626,547,37033,12107,Yes,1,"polyp: [259,8,441,274]",polyp,626,547
kvasir-seg,cju17g6ykn1cs0993dww6qdi8.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju17g6ykn1cs0993dww6qdi8.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju17g6ykn1cs0993dww6qdi8.jpg,605,510,39379,15631,Yes,1,"polyp: [93,123,508,510]",polyp,605,510
kvasir-seg,cju17hw9hr9c5098800fu4u8e.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju17hw9hr9c5098800fu4u8e.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju17hw9hr9c5098800fu4u8e.jpg,623,528,34574,8066,Yes,1,"polyp: [217,175,340,261]",polyp,623,528
kvasir-seg,cju17otoe119u0799nqcbl8n1.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju17otoe119u0799nqcbl8n1.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju17otoe119u0799nqcbl8n1.jpg,519,511,37552,16026,Yes,1,"polyp: [12,57,515,510]",polyp,519,511
kvasir-seg,cju17r8il13910799dr2wme2e.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju17r8il13910799dr2wme2e.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju17r8il13910799dr2wme2e.jpg,622,531,31805,7718,Yes,1,"polyp: [375,203,447,280]",polyp,622,531
kvasir-seg,cju17v6ih0u7808783zcbg1jy.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju17v6ih0u7808783zcbg1jy.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju17v6ih0u7808783zcbg1jy.jpg,622,528,53451,16181,Yes,1,"polyp: [25,0,361,445]",polyp,622,528
kvasir-seg,cju17x0j4nfc10993y31pvlgs.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju17x0j4nfc10993y31pvlgs.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju17x0j4nfc10993y31pvlgs.jpg,459,526,23061,12399,Yes,1,"polyp: [0,0,458,525]",polyp,459,526
kvasir-seg,cju17z0qongpa0993de4boim4.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju17z0qongpa0993de4boim4.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju17z0qongpa0993de4boim4.jpg,622,529,33154,10159,Yes,1,"polyp: [330,270,480,431]",polyp,622,529
kvasir-seg,cju1819curo000988pd5xcqme.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1819curo000988pd5xcqme.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1819curo000988pd5xcqme.jpg,600,529,38960,11291,Yes,1,"polyp: [244,272,475,478]",polyp,600,529
kvasir-seg,cju183od81ff608017ekzif89.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju183od81ff608017ekzif89.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju183od81ff608017ekzif89.jpg,622,511,32481,14652,Yes,2,"polyp: [385,179,571,399]; polyp: [242,383,421,508]",polyp,622,511
kvasir-seg,cju1871y11d6r0799k6cw4yze.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1871y11d6r0799k6cw4yze.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1871y11d6r0799k6cw4yze.jpg,480,531,24382,10273,Yes,1,"polyp: [0,183,224,421]",polyp,480,531
kvasir-seg,cju18849rrsgr0988p90hkygb.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju18849rrsgr0988p90hkygb.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju18849rrsgr0988p90hkygb.jpg,619,528,36073,11087,Yes,1,"polyp: [156,122,410,303]",polyp,619,528
kvasir-seg,cju18gzrq18zw0878wbf4ftw6.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju18gzrq18zw0878wbf4ftw6.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju18gzrq18zw0878wbf4ftw6.jpg,626,546,34580,12098,Yes,1,"polyp: [355,116,593,308]",polyp,626,546
kvasir-seg,cju18ibp219ub08783i6o98g7.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju18ibp219ub08783i6o98g7.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju18ibp219ub08783i6o98g7.jpg,615,528,37159,7955,Yes,1,"polyp: [455,320,530,432]",polyp,615,528
kvasir-seg,cju18kevfrojc0835bn90f1in.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju18kevfrojc0835bn90f1in.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju18kevfrojc0835bn90f1in.jpg,621,528,37802,10550,Yes,1,"polyp: [217,332,435,478]",polyp,621,528
kvasir-seg,cju1alwgo30z60855fm3y23sm.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1alwgo30z60855fm3y23sm.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1alwgo30z60855fm3y23sm.jpg,622,529,46007,11765,Yes,1,"polyp: [304,63,491,315]",polyp,622,529
kvasir-seg,cju1amqw6p8pw0993d9gc5crl.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1amqw6p8pw0993d9gc5crl.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1amqw6p8pw0993d9gc5crl.jpg,622,547,29644,8694,Yes,1,"polyp: [350,220,485,310]",polyp,622,547
kvasir-seg,cju1aqqv02qwz0878a5cyhr67.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1aqqv02qwz0878a5cyhr67.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1aqqv02qwz0878a5cyhr67.jpg,626,547,41567,11444,Yes,1,"polyp: [259,291,453,486]",polyp,626,547
kvasir-seg,cju1ats0y372e08011yazcsxm.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1ats0y372e08011yazcsxm.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1ats0y372e08011yazcsxm.jpg,623,528,46742,12447,Yes,1,"polyp: [166,0,374,345]",polyp,623,528
kvasir-seg,cju1b0y2e396p08558ois175d.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1b0y2e396p08558ois175d.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1b0y2e396p08558ois175d.jpg,626,546,28843,9912,Yes,1,"polyp: [248,145,380,308]",polyp,626,546
kvasir-seg,cju1b3zgj3d8e0801kpolea6c.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1b3zgj3d8e0801kpolea6c.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1b3zgj3d8e0801kpolea6c.jpg,601,528,40468,13372,Yes,1,"polyp: [107,184,462,433]",polyp,601,528
kvasir-seg,cju1b75x63ddl0799sdp0i2j3.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1b75x63ddl0799sdp0i2j3.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1b75x63ddl0799sdp0i2j3.jpg,549,530,24904,9808,Yes,1,"polyp: [280,144,415,366]",polyp,549,530
kvasir-seg,cju1bhnfitmge0835ynls0l6b.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1bhnfitmge0835ynls0l6b.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1bhnfitmge0835ynls0l6b.jpg,622,531,25635,10867,Yes,1,"polyp: [372,226,607,389]",polyp,622,531
kvasir-seg,cju1bm8063nmh07996rsjjemq.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1bm8063nmh07996rsjjemq.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1bm8063nmh07996rsjjemq.jpg,607,530,39139,13874,Yes,1,"polyp: [206,15,526,366]",polyp,607,530
kvasir-seg,cju1brhsj3rls0855a1vgdlen.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1brhsj3rls0855a1vgdlen.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1brhsj3rls0855a1vgdlen.jpg,570,530,29872,9094,Yes,1,"polyp: [215,214,352,347]",polyp,570,530
kvasir-seg,cju1c0qb4tzi308355wtsnp0y.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1c0qb4tzi308355wtsnp0y.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1c0qb4tzi308355wtsnp0y.jpg,622,530,29369,16176,Yes,1,"polyp: [120,64,581,461]",polyp,622,530
kvasir-seg,cju1c3218411b08014g9f6gig.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1c3218411b08014g9f6gig.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1c3218411b08014g9f6gig.jpg,626,546,43447,12981,Yes,1,"polyp: [122,0,515,182]",polyp,626,546
kvasir-seg,cju1c4fcu40hl07992b8gj0c8.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1c4fcu40hl07992b8gj0c8.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1c4fcu40hl07992b8gj0c8.jpg,626,546,39038,10159,Yes,1,"polyp: [291,199,457,358]",polyp,626,546
kvasir-seg,cju1c6yfz42md08550zgoz3pw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1c6yfz42md08550zgoz3pw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1c6yfz42md08550zgoz3pw.jpg,536,530,26590,11891,Yes,1,"polyp: [99,0,432,279]",polyp,536,530
kvasir-seg,cju1c8ffau5770835g0g343o8.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju1c8ffau5770835g0g343o8.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju1c8ffau5770835g0g343o8.jpg,622,529,47716,9366,Yes,1,"polyp: [245,283,367,428]",polyp,622,529
